Designator,Mid X,Mid Y,Rotation,Layer
LED115,9.2353,-40.6,180.0,top
LED116,117.2353,-34.6,180.0,top
LED117,39.2353,-40.6,180.0,top
LED118,81.2353,-34.6,180.0,top
LED119,57.2353,-34.6,180.0,top
LED12,69.2353,-4.6,180.0,top
LED120,27.2353,-34.6,180.0,top
LED121,15.2353,-40.6,180.0,top
LED123,153.2353,-4.6,180.0,top
LED124,225.2353,-10.6,180.0,top
LED125,177.2353,-4.6,180.0,top
LED126,201.2353,-4.6,180.0,top
LED127,225.2353,-4.6,180.0,top
LED128,249.2353,-10.6,180.0,top
LED129,159.2353,-4.6,180.0,top
LED13,75.2353,-4.6,180.0,top
LED130,219.2353,-10.6,180.0,top
LED131,183.2353,-4.6,180.0,top
LED132,207.2353,-4.6,180.0,top
LED133,231.2353,-4.6,180.0,top
LED134,243.2353,-10.6,180.0,top
LED135,165.2353,-4.6,180.0,top
LED136,207.2353,-10.6,180.0,top
LED137,189.2353,-4.6,180.0,top
LED138,213.2353,-4.6,180.0,top
LED139,243.2353,-4.6,180.0,top
LED14,81.2353,-4.6,180.0,top
LED140,237.2353,-10.6,180.0,top
LED141,171.2353,-4.6,180.0,top
LED142,201.2353,-10.6,180.0,top
LED143,195.2353,-4.6,180.0,top
LED144,219.2353,-4.6,180.0,top
LED146,231.2353,-10.6,180.0,top
LED147,21.2353,-10.6,180.0,top
LED148,135.2353,-16.6,180.0,top
LED149,9.2353,-16.6,180.0,top
LED15,105.2353,-4.6,180.0,top
LED150,51.2353,-16.6,180.0,top
LED151,81.2353,-16.6,180.0,top
LED152,111.2353,-16.6,180.0,top
LED153,15.2353,-10.6,180.0,top
LED154,141.2353,-16.6,180.0,top
LED155,15.2353,-16.6,180.0,top
LED156,57.2353,-16.6,180.0,top
LED157,87.2353,-16.6,180.0,top
LED158,117.2353,-16.6,180.0,top
LED159,9.2353,-10.6,180.0,top
LED16,87.2353,-4.6,180.0,top
LED160,147.2353,-16.6,180.0,top
LED161,33.2353,-16.6,180.0,top
LED162,69.2353,-16.6,180.0,top
LED163,93.2353,-16.6,180.0,top
LED164,123.2353,-16.6,180.0,top
LED166,153.2353,-16.6,180.0,top
LED167,39.2353,-16.6,180.0,top
LED168,75.2353,-16.6,180.0,top
LED169,105.2353,-16.6,180.0,top
LED17,111.2353,-4.6,180.0,top
LED170,129.2353,-16.6,180.0,top
LED171,183.2353,-22.6,180.0,top
LED172,39.2353,-22.6,180.0,top
LED173,153.2353,-22.6,180.0,top
LED174,123.2353,-22.6,180.0,top
LED175,87.2353,-22.6,180.0,top
LED176,63.2353,-22.6,180.0,top
LED177,177.2353,-22.6,180.0,top
LED178,33.2353,-22.6,180.0,top
LED179,147.2353,-22.6,180.0,top
LED18,93.2353,-4.6,180.0,top
LED180,111.2353,-22.6,180.0,top
LED181,81.2353,-22.6,180.0,top
LED182,57.2353,-22.6,180.0,top
LED183,171.2353,-22.6,180.0,top
LED184,27.2353,-22.6,180.0,top
